A1	A2	A3	A4	A5	A6	A7	A8	A9	A10	A11	A12	B1	B2	B3	B4	B5	B6	B7	B8	B9	B10	B11	B12	C1	C2	C3	C4	C5	C6	C7	C8	C9	C10	C11	C12	D1	D2	D3	D4	D5	D6	D7	D8	D9	D10	D11	D12	E1	E2	E3	E4	E5	E6	E7	E8	E9	E10	E11	E12	F1	F2	F3	F4	F5	F6	F7	F8	F9	F10	F11	F12	G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	H1	H2	H3	H4	H5	H6	H7	H8	H9	H10	H11	H12
0.09	0.091	0.089	0.089	0.09	0.09	0.091	0.089	0.09	0.095	0.09	0.089	0.09	0.116	0.114	0.113	0.09	0.118	0.116	0.111	0.089	0.089	0.089	0.09	0.09	0.118	0.112	0.112	0.09	0.117	0.115	0.111	0.09	0.089	0.09	0.09	0.091	0.121	0.112	0.11	0.091	0.118	0.127	0.11	0.09	0.091	0.091	0.09	0.09	0.116	0.118	0.112	0.09	0.119	0.107	0.11	0.091	0.09	0.091	0.09	0.091	0.092	0.092	0.091	0.09	0.092	0.091	0.091	0.09	0.09	0.09	0.091	0.09	0.09	0.091	0.09	0.091	0.09	0.091	0.09	0.09	0.09	0.091	0.09	0.089	0.091	0.092	0.09	0.091	0.092	0.091	0.09	0.09	0.091	0.091	0.09
0.09	0.091	0.089	0.089	0.09	0.09	0.091	0.089	0.09	0.095	0.09	0.089	0.09	0.149	0.146	0.143	0.09	0.146	0.142	0.136	0.089	0.089	0.089	0.09	0.09	0.153	0.14	0.14	0.09	0.147	0.144	0.134	0.09	0.089	0.09	0.09	0.09	0.156	0.138	0.135	0.09	0.149	0.161	0.134	0.09	0.09	0.091	0.09	0.09	0.147	0.149	0.139	0.09	0.151	0.128	0.132	0.09	0.09	0.09	0.09	0.091	0.092	0.091	0.091	0.09	0.092	0.091	0.091	0.09	0.089	0.09	0.091	0.09	0.09	0.091	0.09	0.091	0.09	0.091	0.089	0.089	0.09	0.091	0.09	0.089	0.09	0.092	0.089	0.092	0.091	0.091	0.089	0.09	0.09	0.09	0.089
0.09	0.091	0.089	0.089	0.09	0.09	0.091	0.089	0.09	0.095	0.09	0.089	0.09	0.241	0.229	0.223	0.09	0.241	0.222	0.207	0.09	0.089	0.089	0.09	0.09	0.243	0.22	0.216	0.09	0.236	0.23	0.203	0.09	0.089	0.09	0.09	0.09	0.254	0.214	0.208	0.09	0.232	0.249	0.205	0.09	0.09	0.091	0.09	0.09	0.239	0.239	0.215	0.09	0.241	0.193	0.2	0.09	0.09	0.09	0.09	0.091	0.092	0.091	0.091	0.09	0.092	0.091	0.091	0.09	0.089	0.09	0.091	0.09	0.09	0.091	0.09	0.091	0.09	0.091	0.089	0.089	0.09	0.091	0.09	0.089	0.09	0.092	0.089	0.092	0.093	0.091	0.09	0.092	0.091	0.091	0.089
0.09	0.091	0.089	0.089	0.09	0.09	0.091	0.089	0.09	0.096	0.09	0.089	0.09	0.383	0.352	0.345	0.09	0.37	0.329	0.325	0.089	0.089	0.089	0.09	0.09	0.394	0.344	0.336	0.09	0.358	0.353	0.324	0.09	0.089	0.09	0.09	0.09	0.412	0.332	0.32	0.09	0.369	0.361	0.323	0.09	0.091	0.091	0.091	0.09	0.386	0.379	0.335	0.09	0.388	0.302	0.319	0.09	0.09	0.09	0.09	0.091	0.092	0.092	0.091	0.09	0.092	0.091	0.091	0.09	0.089	0.09	0.091	0.09	0.09	0.091	0.09	0.091	0.09	0.091	0.089	0.09	0.09	0.091	0.09	0.089	0.091	0.092	0.089	0.092	0.09	0.09	0.089	0.09	0.091	0.09	0.089
0.09	0.091	0.089	0.089	0.09	0.09	0.091	0.089	0.09	0.096	0.09	0.089	0.09	0.512	0.477	0.467	0.091	0.541	0.497	0.482	0.089	0.089	0.089	0.09	0.09	0.548	0.466	0.459	0.09	0.525	0.54	0.469	0.09	0.089	0.09	0.09	0.09	0.556	0.452	0.44	0.09	0.549	0.556	0.488	0.09	0.091	0.091	0.09	0.09	0.525	0.509	0.457	0.09	0.561	0.487	0.478	0.091	0.09	0.09	0.09	0.091	0.092	0.092	0.091	0.09	0.092	0.091	0.091	0.09	0.089	0.09	0.091	0.09	0.09	0.091	0.09	0.091	0.09	0.091	0.089	0.09	0.09	0.091	0.09	0.089	0.091	0.092	0.09	0.092	0.091	0.091	0.09	0.09	0.091	0.091	0.089
0.09	0.091	0.089	0.089	0.089	0.09	0.091	0.089	0.09	0.096	0.09	0.089	0.09	0.619	0.59	0.577	0.09	0.635	0.637	0.624	0.089	0.089	0.089	0.09	0.09	0.644	0.579	0.569	0.09	0.658	0.647	0.638	0.09	0.089	0.09	0.09	0.09	0.67	0.561	0.549	0.09	0.662	0.652	0.621	0.09	0.091	0.091	0.09	0.09	0.64	0.62	0.566	0.09	0.657	0.627	0.643	0.091	0.09	0.09	0.09	0.091	0.092	0.092	0.091	0.09	0.092	0.091	0.091	0.09	0.089	0.09	0.091	0.09	0.09	0.091	0.09	0.091	0.09	0.091	0.089	0.09	0.09	0.091	0.09	0.089	0.091	0.092	0.09	0.092	0.091	0.09	0.089	0.09	0.091	0.09	0.089
0.09	0.091	0.089	0.089	0.09	0.09	0.091	0.089	0.09	0.096	0.09	0.089	0.09	0.679	0.64	0.619	0.09	0.677	0.705	0.68	0.089	0.089	0.089	0.09	0.09	0.694	0.637	0.619	0.09	0.695	0.703	0.696	0.09	0.089	0.09	0.09	0.09	0.74	0.619	0.593	0.09	0.701	0.716	0.705	0.09	0.091	0.091	0.09	0.09	0.7	0.666	0.612	0.09	0.706	0.709	0.683	0.091	0.09	0.09	0.09	0.091	0.092	0.092	0.091	0.09	0.092	0.091	0.091	0.09	0.089	0.09	0.091	0.09	0.09	0.091	0.09	0.091	0.09	0.091	0.089	0.09	0.09	0.091	0.09	0.089	0.091	0.092	0.09	0.092	0.091	0.09	0.09	0.09	0.091	0.09	0.09
0.09	0.091	0.089	0.089	0.09	0.09	0.091	0.089	0.09	0.095	0.09	0.089	0.09	0.716	0.663	0.64	0.09	0.736	0.712	0.678	0.09	0.089	0.089	0.09	0.09	0.713	0.658	0.64	0.09	0.716	0.729	0.703	0.09	0.089	0.09	0.09	0.09	0.756	0.635	0.615	0.09	0.741	0.732	0.71	0.09	0.091	0.091	0.09	0.09	0.718	0.683	0.629	0.09	0.732	0.715	0.702	0.091	0.09	0.09	0.09	0.091	0.092	0.092	0.091	0.09	0.092	0.091	0.091	0.09	0.089	0.09	0.091	0.09	0.09	0.091	0.09	0.091	0.09	0.091	0.089	0.09	0.09	0.091	0.091	0.089	0.091	0.092	0.09	0.092	0.095	0.09	0.09	0.093	0.091	0.091	0.089
0.09	0.091	0.089	0.089	0.09	0.09	0.091	0.089	0.09	0.095	0.09	0.089	0.09	0.736	0.67	0.643	0.09	0.722	0.727	0.698	0.09	0.089	0.089	0.09	0.09	0.739	0.666	0.645	0.09	0.718	0.73	0.698	0.089	0.089	0.09	0.09	0.09	0.758	0.647	0.622	0.09	0.756	0.739	0.708	0.09	0.091	0.091	0.09	0.09	0.724	0.688	0.633	0.09	0.772	0.727	0.709	0.091	0.09	0.09	0.09	0.091	0.092	0.092	0.091	0.09	0.092	0.091	0.091	0.09	0.089	0.09	0.091	0.09	0.09	0.091	0.09	0.091	0.09	0.091	0.089	0.09	0.09	0.091	0.09	0.089	0.091	0.092	0.09	0.092	0.095	0.09	0.09	0.093	0.091	0.091	0.089
0.09	0.091	0.089	0.089	0.089	0.09	0.091	0.089	0.09	0.095	0.09	0.089	0.09	0.73	0.672	0.648	0.09	0.748	0.765	0.718	0.09	0.089	0.089	0.09	0.09	0.771	0.667	0.646	0.09	0.724	0.771	0.738	0.089	0.089	0.09	0.09	0.09	0.755	0.641	0.62	0.09	0.759	0.779	0.753	0.09	0.091	0.091	0.09	0.09	0.722	0.686	0.631	0.09	0.755	0.763	0.742	0.09	0.09	0.09	0.09	0.091	0.092	0.091	0.091	0.09	0.092	0.091	0.091	0.09	0.089	0.09	0.091	0.09	0.09	0.091	0.09	0.091	0.09	0.091	0.089	0.09	0.09	0.091	0.09	0.089	0.091	0.091	0.089	0.092	0.095	0.09	0.09	0.093	0.09	0.091	0.089
