A1	A2	A3	A4	A5	A6	A7	A8	A9	A10	A11	A12	B1	B2	B3	B4	B5	B6	B7	B8	B9	B10	B11	B12	C1	C2	C3	C4	C5	C6	C7	C8	C9	C10	C11	C12	D1	D2	D3	D4	D5	D6	D7	D8	D9	D10	D11	D12	E1	E2	E3	E4	E5	E6	E7	E8	E9	E10	E11	E12	F1	F2	F3	F4	F5	F6	F7	F8	F9	F10	F11	F12	G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	H1	H2	H3	H4	H5	H6	H7	H8	H9	H10	H11	H12
0.09	0.091	0.091	0.092	0.09	0.09	0.094	0.09	0.091	0.09	0.09	0.09	0.098	0.106	0.113	0.107	0.114	0.105	0.11	0.109	0.109	0.091	0.104	0.09	0.091	0.106	0.112	0.111	0.116	0.104	0.106	0.105	0.104	0.09	0.104	0.091	0.091	0.108	0.107	0.109	0.11	0.103	0.105	0.103	0.106	0.089	0.102	0.094	0.09	0.107	0.107	0.108	0.103	0.101	0.107	0.106	0.106	0.09	0.102	0.093	0.09	0.107	0.104	0.104	0.108	0.103	0.106	0.105	0.105	0.089	0.091	0.09	0.09	0.104	0.108	0.113	0.11	0.106	0.106	0.107	0.105	0.09	0.091	0.091	0.09	0.091	0.091	0.09	0.091	0.091	0.091	0.09	0.09	0.091	0.092	0.09
0.09	0.091	0.091	0.092	0.09	0.089	0.094	0.09	0.09	0.09	0.09	0.09	0.098	0.128	0.137	0.128	0.142	0.119	0.129	0.126	0.127	0.091	0.116	0.09	0.091	0.129	0.14	0.137	0.134	0.121	0.123	0.122	0.121	0.09	0.119	0.091	0.091	0.131	0.13	0.131	0.133	0.116	0.121	0.117	0.122	0.089	0.114	0.092	0.09	0.13	0.128	0.131	0.118	0.115	0.125	0.122	0.124	0.09	0.114	0.093	0.09	0.128	0.122	0.121	0.13	0.118	0.122	0.119	0.121	0.089	0.091	0.09	0.09	0.125	0.13	0.142	0.135	0.124	0.122	0.125	0.12	0.09	0.091	0.091	0.09	0.091	0.091	0.09	0.09	0.091	0.091	0.09	0.09	0.091	0.092	0.09
0.09	0.091	0.091	0.092	0.09	0.089	0.094	0.09	0.09	0.09	0.09	0.09	0.098	0.198	0.225	0.197	0.235	0.16	0.18	0.172	0.174	0.091	0.153	0.09	0.091	0.196	0.22	0.214	0.198	0.166	0.168	0.166	0.164	0.09	0.158	0.091	0.091	0.212	0.211	0.214	0.213	0.153	0.165	0.159	0.169	0.089	0.147	0.092	0.09	0.209	0.201	0.212	0.183	0.154	0.174	0.169	0.173	0.09	0.147	0.093	0.09	0.198	0.179	0.179	0.203	0.158	0.173	0.162	0.162	0.089	0.091	0.09	0.09	0.193	0.21	0.235	0.22	0.17	0.169	0.175	0.171	0.089	0.09	0.091	0.09	0.091	0.091	0.09	0.09	0.09	0.091	0.089	0.09	0.091	0.092	0.09
0.09	0.091	0.091	0.092	0.09	0.089	0.094	0.09	0.09	0.09	0.09	0.09	0.098	0.308	0.348	0.31	0.373	0.257	0.29	0.276	0.284	0.091	0.245	0.09	0.091	0.297	0.338	0.332	0.297	0.264	0.266	0.263	0.261	0.09	0.241	0.091	0.09	0.341	0.348	0.353	0.34	0.252	0.275	0.268	0.284	0.089	0.219	0.092	0.09	0.321	0.312	0.341	0.295	0.257	0.296	0.28	0.291	0.091	0.224	0.093	0.09	0.303	0.281	0.276	0.309	0.247	0.281	0.26	0.262	0.089	0.091	0.09	0.09	0.3	0.317	0.366	0.351	0.287	0.281	0.299	0.293	0.09	0.09	0.091	0.09	0.091	0.091	0.09	0.09	0.09	0.091	0.089	0.09	0.091	0.092	0.09
0.09	0.091	0.091	0.092	0.09	0.089	0.094	0.09	0.09	0.09	0.09	0.09	0.098	0.449	0.505	0.451	0.54	0.384	0.413	0.408	0.435	0.091	0.371	0.09	0.09	0.429	0.481	0.488	0.424	0.384	0.383	0.385	0.378	0.09	0.391	0.091	0.09	0.494	0.499	0.516	0.485	0.394	0.414	0.421	0.434	0.089	0.325	0.092	0.09	0.469	0.45	0.492	0.424	0.402	0.461	0.418	0.453	0.09	0.328	0.093	0.09	0.455	0.407	0.409	0.46	0.357	0.413	0.378	0.386	0.089	0.091	0.09	0.09	0.443	0.465	0.533	0.513	0.43	0.414	0.461	0.424	0.09	0.09	0.091	0.09	0.091	0.091	0.09	0.09	0.091	0.091	0.089	0.09	0.091	0.092	0.09
0.09	0.091	0.091	0.092	0.09	0.089	0.094	0.09	0.09	0.09	0.09	0.09	0.098	0.582	0.639	0.585	0.672	0.515	0.543	0.547	0.596	0.091	0.525	0.09	0.09	0.553	0.606	0.613	0.552	0.51	0.503	0.516	0.505	0.09	0.584	0.091	0.091	0.616	0.619	0.646	0.609	0.546	0.563	0.574	0.592	0.089	0.434	0.092	0.09	0.589	0.569	0.618	0.546	0.558	0.612	0.563	0.619	0.09	0.443	0.093	0.09	0.584	0.527	0.533	0.584	0.479	0.557	0.515	0.524	0.089	0.091	0.09	0.09	0.563	0.587	0.66	0.637	0.573	0.559	0.638	0.565	0.09	0.09	0.091	0.09	0.091	0.091	0.09	0.09	0.091	0.091	0.089	0.09	0.091	0.092	0.09
0.09	0.091	0.091	0.092	0.09	0.089	0.094	0.09	0.09	0.09	0.09	0.09	0.098	0.662	0.692	0.652	0.73	0.602	0.619	0.636	0.681	0.09	0.584	0.089	0.09	0.621	0.669	0.671	0.618	0.59	0.574	0.602	0.589	0.09	0.689	0.091	0.09	0.679	0.681	0.71	0.676	0.646	0.649	0.672	0.686	0.089	0.542	0.092	0.09	0.659	0.638	0.686	0.618	0.644	0.692	0.657	0.706	0.09	0.572	0.093	0.09	0.656	0.606	0.611	0.652	0.549	0.641	0.595	0.612	0.089	0.091	0.09	0.09	0.632	0.655	0.725	0.697	0.661	0.652	0.72	0.656	0.09	0.09	0.091	0.09	0.091	0.091	0.09	0.09	0.09	0.091	0.089	0.09	0.091	0.092	0.09
0.09	0.091	0.091	0.092	0.09	0.089	0.094	0.09	0.09	0.09	0.09	0.09	0.097	0.694	0.716	0.697	0.749	0.638	0.65	0.668	0.717	0.09	0.619	0.089	0.09	0.659	0.702	0.709	0.651	0.625	0.605	0.633	0.618	0.089	0.694	0.091	0.09	0.711	0.712	0.735	0.704	0.689	0.679	0.71	0.722	0.089	0.634	0.092	0.09	0.69	0.668	0.707	0.649	0.694	0.732	0.699	0.742	0.09	0.668	0.093	0.09	0.682	0.642	0.646	0.686	0.589	0.681	0.634	0.644	0.089	0.091	0.09	0.09	0.673	0.688	0.736	0.725	0.699	0.688	0.749	0.69	0.089	0.09	0.091	0.09	0.091	0.091	0.09	0.09	0.09	0.091	0.089	0.09	0.09	0.092	0.09
0.09	0.091	0.091	0.092	0.09	0.089	0.094	0.09	0.09	0.09	0.09	0.09	0.097	0.719	0.76	0.722	0.768	0.658	0.664	0.69	0.731	0.09	0.639	0.089	0.09	0.681	0.732	0.731	0.674	0.631	0.615	0.644	0.629	0.089	0.648	0.091	0.09	0.729	0.733	0.747	0.717	0.703	0.693	0.722	0.731	0.089	0.65	0.092	0.09	0.709	0.698	0.73	0.676	0.716	0.745	0.72	0.758	0.09	0.679	0.093	0.09	0.714	0.67	0.681	0.713	0.604	0.697	0.655	0.657	0.089	0.09	0.09	0.09	0.693	0.697	0.747	0.736	0.713	0.7	0.761	0.699	0.089	0.09	0.091	0.09	0.091	0.091	0.09	0.09	0.09	0.091	0.089	0.09	0.091	0.092	0.09
0.09	0.091	0.091	0.092	0.09	0.089	0.094	0.09	0.09	0.09	0.09	0.09	0.097	0.729	0.766	0.737	0.786	0.66	0.662	0.693	0.733	0.09	0.654	0.089	0.09	0.702	0.742	0.741	0.701	0.635	0.618	0.643	0.631	0.09	0.672	0.091	0.09	0.74	0.744	0.757	0.732	0.707	0.697	0.722	0.732	0.089	0.679	0.092	0.09	0.715	0.708	0.742	0.697	0.729	0.754	0.729	0.762	0.09	0.683	0.093	0.09	0.736	0.694	0.702	0.725	0.612	0.701	0.661	0.664	0.089	0.091	0.09	0.09	0.702	0.707	0.764	0.737	0.72	0.7	0.77	0.709	0.089	0.09	0.091	0.09	0.091	0.091	0.09	0.09	0.09	0.091	0.089	0.09	0.09	0.092	0.09
0.09	0.091	0.091	0.092	0.09	0.089	0.094	0.09	0.09	0.09	0.09	0.09	0.097	0.735	0.774	0.751	0.788	0.657	0.661	0.696	0.728	0.09	0.655	0.089	0.09	0.706	0.748	0.75	0.708	0.628	0.615	0.64	0.628	0.09	0.679	0.091	0.09	0.743	0.749	0.758	0.735	0.707	0.696	0.718	0.729	0.089	0.683	0.092	0.09	0.719	0.713	0.75	0.7	0.729	0.755	0.733	0.759	0.09	0.697	0.093	0.09	0.736	0.696	0.703	0.732	0.611	0.701	0.662	0.666	0.089	0.091	0.09	0.09	0.71	0.714	0.776	0.743	0.728	0.706	0.768	0.71	0.09	0.09	0.091	0.09	0.091	0.091	0.09	0.09	0.091	0.091	0.089	0.09	0.091	0.092	0.09
0.09	0.091	0.091	0.092	0.09	0.089	0.094	0.09	0.09	0.09	0.09	0.09	0.097	0.734	0.78	0.757	0.796	0.658	0.662	0.694	0.735	0.09	0.664	0.089	0.09	0.716	0.757	0.755	0.713	0.626	0.612	0.636	0.625	0.09	0.687	0.091	0.09	0.746	0.753	0.762	0.733	0.707	0.696	0.713	0.731	0.089	0.725	0.092	0.09	0.722	0.718	0.752	0.71	0.717	0.754	0.732	0.758	0.09	0.655	0.093	0.09	0.74	0.702	0.709	0.736	0.614	0.699	0.663	0.66	0.089	0.091	0.09	0.09	0.716	0.721	0.779	0.748	0.725	0.708	0.774	0.712	0.09	0.09	0.091	0.09	0.091	0.091	0.09	0.09	0.09	0.091	0.089	0.09	0.091	0.092	0.09
0.09	0.091	0.091	0.092	0.09	0.089	0.094	0.09	0.09	0.09	0.09	0.09	0.096	0.74	0.781	0.758	0.791	0.654	0.656	0.685	0.732	0.09	0.636	0.089	0.09	0.717	0.759	0.765	0.721	0.622	0.608	0.631	0.622	0.089	0.655	0.091	0.09	0.749	0.76	0.767	0.741	0.706	0.688	0.712	0.725	0.089	0.724	0.092	0.09	0.719	0.723	0.754	0.713	0.716	0.75	0.728	0.754	0.089	0.669	0.093	0.09	0.738	0.699	0.713	0.744	0.611	0.696	0.662	0.658	0.089	0.091	0.09	0.09	0.718	0.723	0.785	0.753	0.727	0.7	0.77	0.708	0.09	0.09	0.091	0.09	0.091	0.091	0.09	0.09	0.09	0.091	0.089	0.09	0.09	0.092	0.09
0.09	0.091	0.091	0.092	0.09	0.089	0.094	0.09	0.09	0.09	0.09	0.09	0.096	0.735	0.775	0.76	0.796	0.649	0.648	0.682	0.727	0.09	0.591	0.089	0.09	0.717	0.76	0.769	0.726	0.614	0.602	0.629	0.617	0.09	0.648	0.091	0.09	0.751	0.761	0.771	0.746	0.701	0.683	0.707	0.719	0.089	0.717	0.092	0.09	0.721	0.72	0.758	0.715	0.726	0.746	0.726	0.751	0.091	0.702	0.093	0.09	0.741	0.705	0.715	0.744	0.609	0.698	0.66	0.656	0.089	0.091	0.09	0.09	0.718	0.722	0.789	0.754	0.714	0.693	0.762	0.701	0.09	0.09	0.091	0.09	0.091	0.091	0.09	0.09	0.09	0.091	0.089	0.09	0.091	0.092	0.09
0.09	0.091	0.091	0.092	0.09	0.089	0.094	0.09	0.09	0.09	0.09	0.09	0.096	0.736	0.773	0.756	0.799	0.651	0.647	0.678	0.726	0.09	0.563	0.089	0.09	0.718	0.765	0.769	0.73	0.61	0.598	0.627	0.613	0.09	0.684	0.091	0.09	0.758	0.765	0.776	0.749	0.696	0.679	0.701	0.713	0.089	0.709	0.092	0.09	0.72	0.72	0.755	0.709	0.716	0.748	0.724	0.744	0.09	0.703	0.093	0.09	0.737	0.703	0.714	0.742	0.604	0.692	0.656	0.649	0.089	0.091	0.09	0.09	0.716	0.717	0.788	0.753	0.709	0.689	0.757	0.697	0.09	0.09	0.091	0.09	0.091	0.091	0.09	0.09	0.09	0.091	0.089	0.09	0.091	0.092	0.09
0.09	0.091	0.091	0.092	0.09	0.089	0.094	0.09	0.09	0.09	0.09	0.09	0.095	0.736	0.78	0.758	0.794	0.65	0.644	0.675	0.724	0.09	0.541	0.089	0.09	0.721	0.763	0.77	0.728	0.607	0.596	0.627	0.612	0.09	0.704	0.091	0.09	0.759	0.765	0.779	0.751	0.69	0.673	0.698	0.709	0.089	0.688	0.092	0.09	0.717	0.716	0.754	0.709	0.713	0.745	0.72	0.734	0.09	0.688	0.093	0.09	0.734	0.702	0.713	0.742	0.603	0.691	0.652	0.646	0.089	0.091	0.09	0.09	0.718	0.718	0.791	0.751	0.707	0.687	0.753	0.695	0.09	0.09	0.091	0.09	0.091	0.091	0.09	0.09	0.09	0.091	0.089	0.09	0.09	0.092	0.09
0.09	0.091	0.091	0.092	0.09	0.089	0.094	0.09	0.09	0.09	0.09	0.09	0.095	0.735	0.778	0.757	0.792	0.651	0.64	0.672	0.724	0.09	0.572	0.089	0.09	0.723	0.766	0.77	0.729	0.61	0.598	0.625	0.613	0.09	0.709	0.091	0.09	0.762	0.769	0.786	0.754	0.691	0.671	0.697	0.707	0.09	0.692	0.092	0.09	0.72	0.719	0.756	0.713	0.711	0.742	0.72	0.735	0.09	0.691	0.093	0.09	0.735	0.703	0.712	0.742	0.603	0.688	0.653	0.643	0.089	0.091	0.09	0.09	0.712	0.72	0.792	0.752	0.706	0.686	0.752	0.693	0.09	0.09	0.091	0.09	0.091	0.091	0.09	0.09	0.09	0.091	0.089	0.09	0.09	0.092	0.09
0.09	0.091	0.091	0.092	0.09	0.089	0.094	0.09	0.09	0.09	0.09	0.09	0.095	0.737	0.775	0.75	0.792	0.647	0.638	0.667	0.723	0.09	0.606	0.089	0.09	0.726	0.768	0.77	0.73	0.612	0.606	0.623	0.614	0.09	0.698	0.091	0.09	0.766	0.772	0.787	0.755	0.688	0.668	0.694	0.705	0.089	0.683	0.092	0.09	0.718	0.717	0.756	0.711	0.708	0.74	0.717	0.73	0.09	0.689	0.093	0.09	0.734	0.701	0.71	0.743	0.597	0.686	0.645	0.639	0.089	0.091	0.09	0.09	0.714	0.717	0.791	0.751	0.704	0.681	0.746	0.699	0.089	0.09	0.091	0.09	0.091	0.091	0.09	0.09	0.091	0.091	0.089	0.09	0.091	0.092	0.09
0.09	0.091	0.091	0.092	0.09	0.089	0.094	0.09	0.09	0.09	0.09	0.09	0.094	0.732	0.776	0.751	0.791	0.647	0.637	0.672	0.722	0.09	0.631	0.089	0.09	0.728	0.77	0.773	0.733	0.61	0.606	0.621	0.616	0.09	0.694	0.091	0.091	0.771	0.775	0.794	0.761	0.688	0.668	0.694	0.704	0.089	0.683	0.092	0.09	0.719	0.715	0.751	0.711	0.706	0.739	0.715	0.731	0.09	0.694	0.093	0.09	0.725	0.701	0.708	0.74	0.598	0.683	0.645	0.638	0.089	0.091	0.09	0.09	0.717	0.716	0.792	0.753	0.704	0.681	0.748	0.701	0.089	0.09	0.091	0.09	0.091	0.091	0.09	0.09	0.09	0.091	0.089	0.09	0.091	0.092	0.09
